komentar;kategori;
maaf kak itu yang di minum apa;tidak cyberbullying;
maaf mas lucintaluna itu ga pakai baju;tidak cyberbullying;
maaf pak anis masalah kjp punya anak saya tiba tidak ada pendanaan sampai sekarang di cek tidak terdaftar gitu padahal setiap pemberkasan di sekolah selalu ada tolong pak di bantu soalnya butuh buat bayar buku meskipun sekolahnya online buku mah tetap ada dan bayar juga buat beli paketan data;tidak cyberbullying;
maaf pak gubernur sampai tahun berapa sekolah sekolah di dki bakal dibuka tahun lagi yah ;tidak cyberbullying;
maaf pak ini untuk lanjut usia ya;tidak cyberbullying;
maaf pak tapi untuk dana pkh dan lansia justru banyak yang tidak tepat sasaran datanya hanya itu saja padahal kita sudah mengajukan nama baru tapi tetap yang keluar dia lagi dia lagi;tidak cyberbullying;
maaf sahabat bukan maksud apa ya sebenarnya aku heran mbak kekeyi sering promosiin produk pelangsing badan pemutih kulit tapi kenapa tidak dicoba sndiri ya kan;tidak cyberbullying;
maaf tapi itu ilustrasinya obesitas bukan gemuk;tidak cyberbullying;
maaf tapi sebagai wanita indonesia muslim harusnya malu;tidak cyberbullying;
maaf ya kak rahmawatikekeyiputricantikka;tidak cyberbullying;
maaf yah tapi tolong saat bertindak pakai hikmat dong kan pansos ;tidak cyberbullying;
maafin saya kalau saya hanya fokus ke sepatunya ;tidak cyberbullying;
maafkan kami pak sejujurnya kami tidak ingin ada gelombang amukan masa ataupun kerusuhan namun dewan dan pemerintah di negeri ini yang menginginkan hal tersebut dengan kebijakan kebijakan yang sangat sangat tidak di inginkan oleh rakyat cabutomnibuslaw;tidak cyberbullying;
maasya allah bapak baik benar ;tidak cyberbullying;
macam di kasih balon;tidak cyberbullying;
macam tahu kenal kayak apa ya;tidak cyberbullying;
main bareng kak;tidak cyberbullying;
main bareng semangat deh;tidak cyberbullying;
main ikut orang;tidak cyberbullying;
main pacify main pacify main pacify main pacify main pacify;tidak cyberbullying;
maju capres lagi dan tetap sama sandiaga uno;tidak cyberbullying;
maju kotanya bahagia warganya;tidak cyberbullying;
maju terus rans ;tidak cyberbullying;
mak beti;tidak cyberbullying;
mak beti itu keren aa yang cuek aja mau ngobrol sama mak beti;tidak cyberbullying;
mak beti jago banget ya ngimbangin rafathar sama kiano juga asik banget mainnya;tidak cyberbullying;
mak beti memang super bikin senang ;tidak cyberbullying;
mak beti pintar mencairkan suasana sama anak anak;tidak cyberbullying;
mak beti sudah ke andara saja ketemu rafathar keren euy;tidak cyberbullying;
makan mie nya langsung ditelan ya key;tidak cyberbullying;
makan pentol auto gendut;tidak cyberbullying;
makan pentol bisa naikin berat badan;tidak cyberbullying;
makan pentol saja nanti gemuk;tidak cyberbullying;
makan pentol saja rekor biar masuk pecah rekor;tidak cyberbullying;
makan pentol yang banyak yah budeh biar gemuk;tidak cyberbullying;
makan saja gemasin kak;tidak cyberbullying;
makan saja pentol bulan nonstop;tidak cyberbullying;
makan tanpa ngunyah nanti jadi gendut;tidak cyberbullying;
makannya dikunyah apa langsung ditelan sih;tidak cyberbullying;
makanya jugan lupa sama teman susah senang mu itu harus dibagi sama teman kalau kaya gini baru ngerasain kan kamu dapat ratusan juta lah temanmu cuma kamu kasih k serius sedikit lah bro jasa mereka juga mahal;tidak cyberbullying;
makasih buat bapak yang selalu ngejaga ibu kota tercinta jakarta sekarang keren walau saat ini banyak kerusakan moga lekas sembuh seperti sedia kala;tidak cyberbullying;
makasih mbak nana ikut terharu;tidak cyberbullying;
makasih ya mbak kekeyi  sekarang aku punya alasan biar tidak di suruh;tidak cyberbullying;
makin cantik kakey;tidak cyberbullying;
makin cantik selalu kaka gigi idola ku;tidak cyberbullying;
makin ga laku;tidak cyberbullying;
makin ganteng pak ;tidak cyberbullying;
makin kelihatan maco nya bang;tidak cyberbullying;
makin tua makin ganteng saja;tidak cyberbullying;
maksud lu apa sahabat sekarang kekoreaan;tidak cyberbullying;
malam juga sahabat;tidak cyberbullying;
malam kak kimi;tidak cyberbullying;
malam kekeyi;tidak cyberbullying;
malam kelabu kutunggu kehadiranmu;tidak cyberbullying;
malam mba nana;tidak cyberbullying;
malam minggu lihat kak kimi pokoknya mantap betul;tidak cyberbullying;
malang dong kakak ingin sekali ketemu kak ricis;tidak cyberbullying;
malas ya kalau sekedar tanya jawab tidak seru;tidak cyberbullying;
mall di daerah aku belum dibuka;tidak cyberbullying;
mall nya serasa milik sendiri ya kak cis semoga saja di love gitu ya;tidak cyberbullying;
malu gw sebagai wanita;tidak cyberbullying;
mama bilang ambilkan dulu baju dijemuran aku jawab aku bukan bonekamu bisa kau suruh suruh dengan seenak maumu auto di coret dari kk;tidak cyberbullying;
mama gigi bilang tidurnya sama lele saja saya ngakak parah ;tidak cyberbullying;
mama gigi makin cantik ;tidak cyberbullying;
mama saya sudah lansia umurnya tahun nempatin rumah peninggalan orang tua nya dan punya anak perempuan ditinggal suami dari tahun belum pernah ke data bantuan apapun cuma ngumpulin data dan tidak pernah lolos apapun yang dapat blt malahan orang yang berada dan tidak pernah ganti dari dulu;tidak cyberbullying;
mama tercinta;tidak cyberbullying;
mana buktinya kalau laki pada nempel sama lu key ;tidak cyberbullying;
mana hasil nya;tidak cyberbullying;
mana katanya sama baim wong sudah tidak sabar nih;tidak cyberbullying;
mana nih aa podcast sama om baim;tidak cyberbullying;
mana podcast yang sama om baim kok belum ada ;tidak cyberbullying;
mantap;tidak cyberbullying;
mantap;tidak cyberbullying;
mantap;tidak cyberbullying;
mantap;tidak cyberbullying;
mantap;tidak cyberbullying;
mantap;tidak cyberbullying;
mantap;tidak cyberbullying;
mantap;tidak cyberbullying;
mantap bang anis tidak ada kata yang menyinggung siapapun insha allah bang anies pemimpin yang adil bang;tidak cyberbullying;
mantap betul aa rafathar semoga jadi anak yang sholeh buat papah raffi dan mama gigi aa dan cepat dapat bayi;tidak cyberbullying;
mantap betul cepat sekali;tidak cyberbullying;
mantap betul presidenku pak anies tidak usah pakai marah marah tenang terus kerja orang yang sabar besar hati menghadapi masalah dan netizen  eh selesai jadi selesai dalam waktu singkat mantap ini baru pemimpin yang top;tidak cyberbullying;
mantap bro;tidak cyberbullying;
mantap cepat sekali;tidak cyberbullying;
mantap cepat sekali seperti tidak ada kejadian apa apa;tidak cyberbullying;
mantap cok;tidak cyberbullying;
mantap gerak cepat salut saya sama bapak;tidak cyberbullying;
mantap gubernur ku memang terbaik;tidak cyberbullying;
mantap gubernur se indonesia;tidak cyberbullying;
mantap ingin ikut belanja juga;tidak cyberbullying;
mantap jiwa;tidak cyberbullying;
mantap kak;tidak cyberbullying;
mantap kak;tidak cyberbullying;
mantap kak;tidak cyberbullying;
mantap kak kimi hime;tidak cyberbullying;
mantap kak semoga channel ini terus berkembang;tidak cyberbullying;
mantap kekeyi semangat terus ya;tidak cyberbullying;
mantap keren;tidak cyberbullying;
mantap kimi chan mainnya bagus;tidak cyberbullying;
mantap lanjutkan pak;tidak cyberbullying;
mantap lur;tidak cyberbullying;
mantap mak beti muncul bersama rafathar pasti seru deh semoga keluarga besar rans entertaiment selalu sehat ;tidak cyberbullying;
mantap mantap;tidak cyberbullying;
mantap mba nana najwashihab;tidak cyberbullying;
mantap mba nana semoga sehat dan sukses selalu membawakan acara mata najwa amin;tidak cyberbullying;
mantap nana;tidak cyberbullying;
mantap pak;tidak cyberbullying;
mantap pak ;tidak cyberbullying;
mantap pak gubernur indonesia;tidak cyberbullying;
mantap pak jaya terus pak anies;tidak cyberbullying;
mantap pak jendral  teruskan perjuangan anda kami mendukung bapak jendral prabowo subianto keren;tidak cyberbullying;
mantap pak kerja nyata tidak pakai marah sambil bilang kamu hancurin kota saya terbaik bapak ini;tidak cyberbullying;
mantap pak presiden tidak banyak omong langsung beresin masalah tanpa drama ;tidak cyberbullying;
mantap pak presidenku aniesbaswedan ;tidak cyberbullying;
mantap pemimpin yang akan datang pak aniesbaswedan;tidak cyberbullying;
mantap presiden masa depan;tidak cyberbullying;
mantap rans entertainment ;tidak cyberbullying;
mantap rans kedatangan mak rempong semoga selalu sukses sehat bahagia terus;tidak cyberbullying;
mantap sekali;tidak cyberbullying;
mantap sekali;tidak cyberbullying;
mantap sekali;tidak cyberbullying;
mantap sekali editor;tidak cyberbullying;
mantap sekali ini tidak pernah membohongi rakyat nya karena beliau paham bagaimana seharusnya menjadi seorang pemimpin yang mengayomi rakyatnya walaupun sering ditentang oleh pemerintah pusat saya bukan warga dki tapi saya sangat apresiasi dengan kinerja pak anies baswedan semoga selalu mendapat lindungan allah swt dari orang iri dan dengki ;tidak cyberbullying;
mantap sungguh menghibur;tidak cyberbullying;
mantap teruskan berjuang dan berkhidmat untuk rakyat agar dunia tau siapa sesungguhnya pemimpin yang mencintai rakyatnya semangat pak gubernur tetap amanah dan jadikan ladang ibadah kepada tuhan;tidak cyberbullying;
mantap ya allah swt berikan ricis konsisten setiap hari bantu orang susah miskin dan kasih give away netizen dan berikan rejeki berkah berlimpah dan selalu dalam lindungan mu ya allah untuk ricis amin ya rabbal alamin tolong ricis buat vlog hantu yang seram di luar kota di jamin penontonnya banyak;tidak cyberbullying;
mantul;tidak cyberbullying;
mantul ;tidak cyberbullying;
mas fatah apa kabar;tidak cyberbullying;
mas fatah sehat;tidak cyberbullying;
mas nya ganteng;tidak cyberbullying;
masa dimenit aku kaget sampe gemeter saking aku terlalu fokus sama kak ricis;tidak cyberbullying;
masa sih;tidak cyberbullying;
masyaallah gerak cepat;tidak cyberbullying;
masyaallah sejuk rasanya ada gubernur yang memperhatikan teman santri semoga sehat selalu pak anies memang keren dan mantap saya bangga sekali;tidak cyberbullying;
masyaallah semoga bapak gubernur dki jakarta selalu diberikan keselamatan kesehatan kesuksesan amin ;tidak cyberbullying;
masyaallah tabarakallah pak anies semoga selalu dalam lindungan allah swt ;tidak cyberbullying;
masih ada saja komentar yang baru;tidak cyberbullying;
masih cantik kak;tidak cyberbullying;
masih enakan lagu anak;tidak cyberbullying;
masih enakan lagu mas mas indihome ;tidak cyberbullying;
masih mending dia bisa bikin lagu lah lu cuma bisa hujat;tidak cyberbullying;
masih mending ini kreatif dari pada lagu muntah bikin jijik aja;tidak cyberbullying;
masih menunggu;tidak cyberbullying;
masih nunggu yang sama om baim;tidak cyberbullying;
masyaallah bapak anies ku gubernur nya indonesia mudahan lebih banyak lagi kepemimpinan seperti bapak sejuk di lihat nya murah senyum dan selalu  berwibawa;tidak cyberbullying;
masyaallah betul sekali pak;tidak cyberbullying;
masyaallah cantik;tidak cyberbullying;
masyaallah cantik nya kekeyi;tidak cyberbullying;
masyaallah cantiknya makhluk tuhan yang satu ini kayak masih gadis belia aja rahasianya apa mbak nana najwashihab ;tidak cyberbullying;
masyaallah cantiknya mama online ;tidak cyberbullying;
masyaallah cantiknya roknya;tidak cyberbullying;
masyaallah cantiknya senyumnya bikin orng meleleh;tidak cyberbullying;
masyaallah cepat sekali tidak pakai marah sehat terus pak ;tidak cyberbullying;
masyaallah gubernur adem banget santun bertanggung jawab sehat selalu ya pak anies semoga allah selalu melimpahkan keberkahan buat bapak amin;tidak cyberbullying;
masyaallah kak cantik sekali kalau bercadar semoga seterusnya seperti ini ya kak sehat selalu ya buat keluarga termasuk kakak;tidak cyberbullying;
masyaallah mantap semoga selalu dalam perlindungan allah ya pak;tidak cyberbullying;
masyaallah mba nana cantik banget ;tidak cyberbullying;
masyaallah pak semangat pak;tidak cyberbullying;
masyaallah parah juga ya rusaknya dan alhamdulillah cepat juga penanganannya terima kasih pak aniesbaswedan semoga selalu diberikan kesehatan dan kesabaran serta kekuatan;tidak cyberbullying;
masyaallah ratu di dalam alquran kita tidak boleh menyombongkan harta karena harta bisa saja menjatuh kan kita suatu hari dan ratu nanti menyesal tolong jangan sombong ratu ;tidak cyberbullying;
masyaallah semoga allah kabulkan bisa menjadi presiden indonesia memang beliau yang pantas memimpin indonesia;tidak cyberbullying;
masyaallah semoga allah mudahkan segalanya buat pemimpin yang bijak qodarullah;tidak cyberbullying;
masyaallah semoga allah restui bapak untuk jadi pemimpin negeri ini tetap amanah pada rakyat ya pak;tidak cyberbullying;
masyaallah semoga jabar juga bisa menyediakan kartu lansia kepada seperti di jkt pak ridwankamil;tidak cyberbullying;
masyaallah senang lihat kak ricis pakai cadar semoga kedepannya bisa bercadar selamanya amin tetap istiqamah ya semoga kalian selalu dalam lindungan allah swt amin;tidak cyberbullying;
masyaallah sungguh cerah wajah bapak presiden jakarta saya sayang bapak;tidak cyberbullying;
masyaallah tante najwashihab senang banget lihatnya lancar selalu rezekinya tante dan sukses selalu dalam menginspirasi jiwa jiwa milenial seperti kami ;tidak cyberbullying;
masyaallah tapi boleh membakar halte nya tapi ilmu dan semangat membangun kembali demi warga tak ikut hangus terbakar malah semakin menguat mantap pak barakallah pak dan semoga bapak aniesbaswedan beserta jajarannya dan semua selalu dalam lindungan allah subhanahu wataalla amin;tidak cyberbullying;
masyaallah bapak adem sekali lihatnya;tidak cyberbullying;
masyaallah bapak ganteng sekali;tidak cyberbullying;
masyaallah bapak gubenurku serasa bapak presidenku;tidak cyberbullying;
masyaallah cinta sama gubernur satu ini ;tidak cyberbullying;
masyaallah makasih banyak pak anies;tidak cyberbullying;
masyaallah orang nomor satu di indonesia bapak anis kalau ngomong bikin menyejukkan hati bapak anis ;tidak cyberbullying;
masyaallah pak gubernur semoga allah swt selalu melindungi bapak amin semoga tidak seperti orang kampung saya yang bilang para santri hafal quran itu radikal;tidak cyberbullying;
masyaallah pak makasi pak ;tidak cyberbullying;
masyaallah perhatiannya pak gubenur terhadap orang tua;tidak cyberbullying;
masyaallah salut sekali sama bapak;tidak cyberbullying;
masyaallah saya semangat kalau melihat bapak sehat terus ya pak;tidak cyberbullying;
masyaallah sehat selalu bapak panjang umur berkah selalu dalam lindungan allah amin;tidak cyberbullying;
masyaallah sehat terus pak;tidak cyberbullying;
masyaallah semoga bapak  periode gubernur dki jakarta  amin ;tidak cyberbullying;
masyaallah semoga jadi pemimpin nomor di indonesia dan bisa mewujudkan seperti ini diseluruh indonesia orang tua diatas mendapatkan program kesejahteraan kartu lansia ;tidak cyberbullying;
masyaallah tabarakallah semoga sehat dan selalu dilindungi allah swt pak kami mencintai gubernur kami;tidak cyberbullying;
masyaallah tabarakallah pak anies semoga sehat selalu amin;tidak cyberbullying;
masyaallah tabarakallah pak gubernur indonesia;tidak cyberbullying;
masyaallah tidak pakai nyalahin atau main tuding tiba kelar aja itu perbaikan;tidak cyberbullying;
matanya jernih;tidak cyberbullying;
mau dong ditraktir;tidak cyberbullying;
mau iseng nanya saja banyakan minum air galon isi ulang air rebus sendiri atau air minum seperti mba gigi;tidak cyberbullying;
mau juga kak najwashihab ;tidak cyberbullying;
mau kasih tau mama gigi kalau makan minum usahakan duduk ya;tidak cyberbullying;
mau kasihan gara gara sering di hujat tapi dongkol juga lihat muka nya hadeh;tidak cyberbullying;
mau ketemu kak ricis ;tidak cyberbullying;
mau menghina malah terhina;tidak cyberbullying;
mau muntah lihat nya ;tidak cyberbullying;
mau nangis;tidak cyberbullying;
mau nanya asal nembak kok goyang tidak kayak kimi waktu gitu ke orang;tidak cyberbullying;
mau ngomong pakai bahasa korea ngomong bahasa inggris saja masih remedial;tidak cyberbullying;
mau sudah mandi atau belom kak illy prillylatuconsina tetep cantiik;tidak cyberbullying;
maunya lu wisudanya tahun ini aja biar dapat karangan bunga seperti yang lu idam idamkan;tidak cyberbullying;
mba gigi main hp saja nih kasian mak beti nya sudah mutar topik;tidak cyberbullying;
mba gigi mana posting aa podcast sama om baim;tidak cyberbullying;
mba nana cantik bangat masyaallah;tidak cyberbullying;
mba nana gimana cara senyum manis;tidak cyberbullying;
mba nana mau lihat koleksi sepatu nya dong;tidak cyberbullying;
mba nana sehat selalu tuhan yesus menyertai;tidak cyberbullying;
mba nana sepatunya keren;tidak cyberbullying;
mbak aku juga mau dong meski sidang nya sudah lewat tapi aku merasa sidang ku sunyi gimana ga sunyi sidang skripsi posisi di kos ga ada siapa setelah sidang seperti bukan sidang rasanya;tidak cyberbullying;
mbak aku padamu dan selalu padamu bagiku mbak najwa yang terbaik;tidak cyberbullying;
mbak cantik;tidak cyberbullying;
mbak cantik banget;tidak cyberbullying;
mbak gigi dan dan aa raffi maaf sebelumnya mohon dong kalau minum duduk seperti yang di contohkan habib usman saat acara rezeki anak sholeh kemarin;tidak cyberbullying;
mbak gigi mendidik rafathar luar biasa ;tidak cyberbullying;
mbak hari ini aku wisuda;tidak cyberbullying;
mbak kekeyi semoga kedepannya semakin sukses ya;tidak cyberbullying;
mbak kekeyi senam poco poco dong;tidak cyberbullying;
mbak najwa bahas tentang kartu prakerja dong;tidak cyberbullying;
mbak najwa kalau guru yang masuk selalu menyuruh mencatat dan menilai tampa menjelaskan gimana mbak;tidak cyberbullying;
mbak najwa membaca buku terbaik;tidak cyberbullying;
mbak najwashihab bajunya suka beli dimana ;tidak cyberbullying;
mbak najwashihab cantik;tidak cyberbullying;
mbak najwashihab cantik banget;tidak cyberbullying;
mbak najwashihab ini berapa kilo ya bawangnya disini mataku berair terus ;tidak cyberbullying;
mbak najwashihab kapan mata najwa di semarang lagi;tidak cyberbullying;
mbak najwashihab kemarin masker motif tentara sekarang ke indonesia an ya mbak jadi motif batik haha sehat mbak;tidak cyberbullying;
mbak najwashihab memang terbaik banget;tidak cyberbullying;
mbak najwashihab rabu besok in syaallah saya mau sidang tolong nanti kirim saya psikiater karena isi kepala saya sudah mulai lock down;tidak cyberbullying;
mbak nama anakku najwa sayyidatul khusna semoga anak saya kelak seperti mbak nana cerdas cantik dan membanggakan amin;tidak cyberbullying;
mbak nana aku padamu ;tidak cyberbullying;
mbak nana aku sayang;tidak cyberbullying;
mbak nana aku suka baju nya ;tidak cyberbullying;
mbak nana bajunya darimana;tidak cyberbullying;
mbak nana cantik;tidak cyberbullying;
mbak nana cantik selalu tidak pernah berubah;tidak cyberbullying;
mbak nana cantik banget;tidak cyberbullying;
mbak nana cantik banget sih masyaallah;tidak cyberbullying;
mbak nana cantik sekali;tidak cyberbullying;
mbak nana cantiknya;tidak cyberbullying;
mbak nana cantiknya kebangetan ;tidak cyberbullying;
mbak nana doain aku ya semoga tahun ini lulus menjadi sarjana amin;tidak cyberbullying;
mbak nana kaya masih abg;tidak cyberbullying;
mbak nana kece banget udah kayak anak muda;tidak cyberbullying;
mbak nana kelihatan lebih muda deh ;tidak cyberbullying;
mbak nana kenapa nike terus;tidak cyberbullying;
mbak nana keren banget;tidak cyberbullying;
mbak nana makasih banyak ya mbak sudah ngadain wisuda ldr untuk angkatan benar benar ini bisa mengobatin rasa sedih kami yang tidak bisa diwisuda secara fisik sehat terus ya mbak nana dan tim;tidak cyberbullying;
mbak nana makin glowing;tidak cyberbullying;
mbak nana najwashihab  itu slide pertama dari boyolali ibu nya jualan bubur di pasar boyolali dan aku suka banget beli bubur gendul di ibu itu masyaallah terima kasih mbak nana ikut bahagia salam dari boyolali;tidak cyberbullying;
mbak nana najwashihab aku juga salah satu dari ribuan teman teman lain yang juga wisuda ldr sebelumnya kata kata atau apapun itu ga bisa bikin hilang rasa sedih wisudanya harus ldr an tp lihat ini rasanya hati saya hangat saya terharu meskipun bunganya bukan buat saya sekalipun terimakasih banyak perhatiannya;tidak cyberbullying;
mbak nana rok nya bagus;tidak cyberbullying;
mbak nana sehat terus ya;tidak cyberbullying;
mbak nana selamat hari rabu aku tunggu di transtv;tidak cyberbullying;
mbak nana sepatunya bagus jadi ingin;tidak cyberbullying;
mbak nana sepatunya bagusnya kebangetan najwashihab sampai kebawa mimpi;tidak cyberbullying;
mbak nana sepatunya selalu baru dan keren saat tampil;tidak cyberbullying;
mbak nana suka baca buku apa saja akhir ini aku suka baca buku karena lihat mbak nana sering sekali baca buku favorit nya sehat selalu ya mba ;tidak cyberbullying;
mbak nya cantik nya alami;tidak cyberbullying;
mbak resep cantik dong suka banget sih sama dirimu;tidak cyberbullying;
mbak saya suka;tidak cyberbullying;
melihat cara kerjanya saja bikin mewek terharu tapi masih ada aja yang julid ;tidak cyberbullying;
meluk kakak;tidak cyberbullying;
memang berat ya jiwa berdiam diri dirumah rasa rindu berterbangan tak tentu arah ;tidak cyberbullying;
memang bisa pegang handphone ya kalau di penjara serius bertanya;tidak cyberbullying;
memang boneka bisa disuruh;tidak cyberbullying;
memang bukan kekeyi mah;tidak cyberbullying;
memang cantik ;tidak cyberbullying;
memang foto nya harus banget kayak gitu;tidak cyberbullying;
memang kalian bisa sukses kayak kekeyi;tidak cyberbullying;
memang kamu siapa;tidak cyberbullying;
memang kamu sudah putih key ;tidak cyberbullying;
memang kan kepala lu barusan kepentok di meja besi ya kan;tidak cyberbullying;
memang keren kak himi;tidak cyberbullying;
memang mantap perubahannya;tidak cyberbullying;
memang rejeki kita berbeda beda dari mana datangnya sukses terus;tidak cyberbullying;
memang sebaiknya untuk para lansia tidak perlu antri lagi di kantor pos atau bank kasihan dengan pak aniesbaswedan semua dipermudah dan para lansia bisa dirumah saja tanpa perlu bersusah payah barakallah bapak;tidak cyberbullying;
memang suka mancing ni orang;tidak cyberbullying;
memang terbaik;tidak cyberbullying;
memangnya kak ricis sama sepupu viral itu sepupu dekat atau sepupu jauh ya;tidak cyberbullying;
membahas ketidak sengajaan ya mbak nana;tidak cyberbullying;
membuat orang bahagia semudah itu ya;tidak cyberbullying;
menanti yang tunjangan balita pak gubernur lumayan untuk pemenuhan gizi anak semoga bisa segera seperti jadwal untuk lansia dan difabel terima kasih;tidak cyberbullying;
mending boneka kemana mana dari pada kam tapi salut sih percaya diri banget;tidak cyberbullying;
mending buat lagi tapi yang joget jamet;tidak cyberbullying;
mending ini daripada lagunya rosa meldianti;tidak cyberbullying;
mengandung bawang ;tidak cyberbullying;
mengayomi dan membenahi tanpa mengeluh memang pemimpin untuk semua;tidak cyberbullying;
menghibur lulusan yang tidak ada wisuda dengan pamer foto wisuda tidak paham konsepnya ;tidak cyberbullying;
menhan ri ku sehat dan semangat terus ya pak;tidak cyberbullying;
menit wanita tercantik se asia;tidak cyberbullying;
menjadi misteri kenapa likenya di nonaktifkan kenapa tidak sekalian komentarnya di nonaktifkan juga beserta video yang tidak guna di bumi hanguskan;tidak cyberbullying;
mentang mentang sudah juta subs saking senangnya jadi kayak gitu;tidak cyberbullying;
menurut saya luna bebas namanya semakin terkenal pekerjaan dimana mana sok insya allah dan musuhnya juga pasti banyak yang ga suka dibalik musibah insya allah ada hikmah terindah;tidak cyberbullying;
menurut saya mbak kekeyi itu kenapa tindakannya kayak gitu karena kurang kasih sayang orang tua dia rindu sama ibu nya biasa nya kayak gitu kalau kelakuannya aneh ga ada kasih sayang;tidak cyberbullying;
menyesal tidak pilih bapak prabowo;tidak cyberbullying;
merasa ada di kelompok itu setiap nonton video video ukhti ricis kadang nangis sendiri ngerasa ada disitu;tidak cyberbullying;
merdeka jaya selalu pak menhan;tidak cyberbullying;
merdeka presiden aku;tidak cyberbullying;
merinding aku ;tidak cyberbullying;
merinding bacanya haru terimakasih mbak najwa selalu dukung kami menjadi energi positif banget buat aku semoga mbak najwa selalu dalam lindungan allah;tidak cyberbullying;
merinding banget serius;tidak cyberbullying;
merinding mba nana keren banget sih makasih ya sudah bikin mereka semua bahagia;tidak cyberbullying;
merinding ya allah ;tidak cyberbullying;
meskipun saya orang jatim tapi saya bangga dengan pak anies baswedan barokallahu fiikum pak ;tidak cyberbullying;
miko dalam hati tahan tahan ini cuman sebentar yang penting aku dapat uang;tidak cyberbullying;
mimpi apa semalem da kyung di bilang mirip kekeyi;tidak cyberbullying;
mimpi buruk gw;tidak cyberbullying;
mimpi buruk sahabat;tidak cyberbullying;
mimpi indah;tidak cyberbullying;
mimpi indah;tidak cyberbullying;
mimpi indah juga buat kamu kekeyi;tidak cyberbullying;
mimpi indah sahabat;tidak cyberbullying;
mimpi indah ya sahabat;tidak cyberbullying;
minta dibully amat lu key setidaknya kalau pusing sama bacotan netizen lu nya intropeksi dulu;tidak cyberbullying;
minta tolong ibu saya belum dapat kartu lansia sampai sekarang sudah tahun proses lama sekali;tidak cyberbullying;
minum air putih sambil lihat kamu jadi makin manis;tidak cyberbullying;
mirip banget sama barbie;tidak cyberbullying;
mirip bidadari;tidak cyberbullying;
mirip kisah roro jongrang cepat sekali jadinya pak ;tidak cyberbullying;
mirip sih kak tapi ada yang tidak mirip dikit dari jidat sampai ujung kaki;tidak cyberbullying;
misi setiap hari masak pagi buat keluarga bersihin rumah tidur siang bangun dislike video kekeyi santay misi selesai;tidak cyberbullying;
model laki lakinya kenapa pada stres gitu ya mukanya kayak ada firasat buruk bakalan digempur dikomentar haha yang kiri melihatnya gitu sekali bang kayak ngawasin anak belajar jalan coba lihat itu yang kanan kenapa jalannya jadi gitu ya;tidak cyberbullying;
mohon ijin pak gubernur bapak aniesbaswedan banyak yang tidak sesuai di lapangan pak banyak yang lansia belum dapat namun yang dapat malahan yang pada sehat tulang mampu berkerja mohon di tindak lanjuti saya warga cempaka putih bara rt kelurahan cempaka putih;tidak cyberbullying;
mohon maaf bagi yang ahli tentang vokal bisakah kasih masukan pada saya baru upload video soalnya dan masih banyak harus belajar sepertinya ;tidak cyberbullying;
mohon maaf banget kak lucintaluna kalau kakak benaran mau jadi perempuan yang sesungguhnya tolong kak hargai perempuan yang lain dengan kakak buka baju maaf telanjang seperti itu kakak sudah memalukan kaum hawa apalagi kakak islam di agama kita tidak boleh memperlihatkan aurat kita kecuali telapak tangan dan wajah mohon maaf banget saya tidak bermaksud mau hujat tapi tolong mahal kan perempuan dan mahal kan harga diri kakak sebagai perempuan;tidak cyberbullying;
mohon maaf kakak namanya bukan da kyung tapi han soe hee dan soal kemiripan mohon maaf ga mirip;tidak cyberbullying;
mohon maaf key ini cuma sekedar pendapat aku suka atau tidak itu hak kamu dan fans mu aku cuma mau tanya kekeyi punya tim gitu tidak sih kayak bagian kamera bagian edit nya konsep nya kalau ada kenapa bisa bikin video yang lebih banyak suara kipas daripada suara kekeyi aku ini mau menikmati video mu mbak tapi kok suaranya gemuruhan gimana ya dengar suara kipas mu itu aturan kalau mau pakai kipas dikecilin gitu pengaturan kecepatan anginnya atau kalau tidak dijauhkan gitu keseluruhan aku suka video mu ga ada maksud apa apa tapi lebih ngarah ke koreksi;tidak cyberbullying;
mohon maaf nih key tapi ga ada yang bilang kekeyi mirip da kyung;tidak cyberbullying;
mohon maaf nih ya mbak lucintaluna kalau memang iya benar perempuan asli dan tahu aturan agama mbak ga bakal ngumbar aurat kayak gitu kata nya mba perempuan asli kan kita aja yang perempuan malu buat umbar aurat sampai segitu nya;tidak cyberbullying;
mohon maaf sebelumnya pak aniesbaswedan saya ingin bertanya apakah betul ada peraturan daerah yang baru terkait apabila ada penolakan swab dan vaksin didenda sampai dengan  jt;tidak cyberbullying;
mohon segera lakukan koordinasi ke pihak pintu air pintu air untuk memantau air ketinggian air soalnya di daerah kelurahan dukuh kecamatan kramat jati terpantau banjir;tidak cyberbullying;
momen terbaik untuk menghibur;tidak cyberbullying;
mudahan bapak panutan kimi sehat selalu dan semoga selalu di dalam lindungan allah amin;tidak cyberbullying;
mudahan podcast berkah dan sukses;tidak cyberbullying;
mudahan selalu berkah;tidak cyberbullying;
muka ciptaan tangan;tidak cyberbullying;
muka masnya kelihatan deh;tidak cyberbullying;
mukanya itu loh sempurna banget sih;tidak cyberbullying;
mukanya mirip boneka;tidak cyberbullying;
mulutnya kok gitu sih;tidak cyberbullying;
mundur dikit pak gantengnya kelewatan;tidak cyberbullying;
mungkin air putih bisa menghilangkan rasa haus tapi ada yg penting juga yaitu dekat denganmu dan bisa memilikimu itu bisa menghilangkan rasa rindu btw lagi belajar gombal kak;tidak cyberbullying;
mungkin yang pas podcast rafathar;tidak cyberbullying;
musik nya enak sekali;tidak cyberbullying;
